DIA,SEMANA,numero
11/09/2019,149,1042
11/10/2019,150,1043
11/11/2019,150,1044
11/12/2019,150,1045
11/13/2019,150,1046
11/14/2019,150,1047
11/15/2019,150,1048
11/16/2019,150,1049
11/17/2019,151,1050
11/18/2019,151,1051
11/19/2019,151,1052
11/20/2019,151,1053
11/21/2019,151,1054
11/22/2019,151,1055
11/23/2019,151,1056
11/24/2019,152,1057
11/25/2019,152,1058
11/26/2019,152,1059
11/27/2019,152,1060
11/28/2019,152,1061
11/29/2019,152,1062
11/30/2019,152,1063
12/01/2019,153,1064
12/02/2019,153,1065
12/03/2019,153,1066
12/04/2019,153,1067
12/05/2019,153,1068
12/06/2019,153,1069
12/07/2019,153,1070
12/08/2019,154,1071
12/09/2019,154,1072
12/10/2019,154,1073
12/11/2019,154,1074
12/12/2019,154,1075
12/13/2019,154,1076
12/14/2019,154,1077
12/15/2019,155,1078
12/16/2019,155,1079
12/17/2019,155,1080
12/18/2019,155,1081
12/19/2019,155,1082
12/20/2019,155,1083
12/21/2019,155,1084
12/22/2019,156,1085
12/23/2019,156,1086
12/24/2019,156,1087
12/25/2019,156,1088
12/26/2019,156,1089
12/27/2019,156,1090
12/28/2019,156,1091
12/29/2019,157,1092
12/30/2019,157,1093
12/31/2019,157,1094
01/01/2020,157,1095
01/02/2020,157,1096
01/03/2020,157,1097
01/04/2020,157,1098
01/05/2020,158,1099
01/06/2020,158,1100
01/07/2020,158,1101
01/08/2020,158,1102
01/09/2020,158,1103
01/10/2020,158,1104
01/11/2020,158,1105
01/12/2020,159,1106
01/13/2020,159,1107
01/14/2020,159,1108
01/15/2020,159,1109
01/16/2020,159,1110
01/17/2020,159,1111
01/18/2020,159,1112
01/19/2020,160,1113
01/20/2020,160,1114
01/21/2020,160,1115
01/22/2020,160,1116
01/23/2020,160,1117
01/24/2020,160,1118
01/25/2020,160,1119
01/26/2020,161,1120
01/27/2020,161,1121
01/28/2020,161,1122
01/29/2020,161,1123
01/30/2020,161,1124
01/31/2020,161,1125
02/01/2020,161,1126
02/02/2020,162,1127
02/03/2020,162,1128
02/04/2020,162,1129
02/05/2020,162,1130
02/06/2020,162,1131
